Ticket ID|Subject|Full_Ticket_Text|Issue Type|Assigned Team|Severity|Preprocessed_Text
923|Monitor flickering constantly|The left monitor on my dual-screen setup flickers black every few minutes.|Hardware|Desktop Support|Low|monitor flickering constantly left monitor dualscreen setup flickers black every minutes
924|Router configuration needs update|Need to update the configuration on the main branch office router to accommodate a new subnet for the R&D team.|Network|Networking|Medium|router configuration needs update need update configuration main branch office router accommodate new subnet rd team
925|Adobe Creative Cloud won't update|The Adobe Creative Cloud desktop app is stuck in a loop trying to apply an update.|Software|Application Support|Medium|adobe creative cloud wont update adobe creative cloud desktop app stuck loop trying apply update
926|Broken external hard drive case|The plastic casing on my external USB hard drive is cracked.|Hardware|Desktop Support|Low|broken external hard drive case plastic casing external usb hard drive cracked
927|Two-factor recovery code lost|I lost my phone and my 2FA recovery codes. I am locked out of all systems. Need an emergency MFA reset.|Account/Access|Security & Access|Critical|twofactor recovery code lost lost phone fa recovery codes locked systems need emergency mfa reset
928|Core router failure in Data Center A|The primary router in DC A has gone offline. All traffic for half of our customers is affected.|Network|Networking|Critical|core router failure data center primary router dc gone offline traffic half customers affected
929|Query optimization needed|Query 'Get_Customer_Activity' runs extremely slowly due to inefficient join operations. Need a DBA to review.|Database|Database Ops|Medium|query optimization needed query getcustomeractivity runs extremely slowly due inefficient join operations need dba review
930|Word document formatting issues|I converted a PDF to a Word document, and all the tables and images are misaligned.|Software|Application Support|Low|word document formatting issues converted pdf word document tables images misaligned
931|Intermittent Wi-Fi in the lab area|Users in the lab area are reporting that the Wi-Fi connection drops every 5 minutes.|Network|Networking|Medium|intermittent wifi lab area users lab area reporting wifi connection drops every minutes
932|New user onboarding access failure|New employee John Doe's account was created but he cannot log in to his email or any company application.|Account/Access|Security & Access|High|new user onboarding access failure new employee john account created cannot log email company application
933|Laptop power button loose|The power button on my Lenovo laptop is physically loose and sometimes doesn't register a press.|Hardware|Desktop Support|Low|laptop power button loose power button lenovo laptop physically loose sometimes doesnt register press
934|DNS resolution failure for internal domains|Users in the London office cannot resolve internal hostnames like 'fileserver'.|Network|Networking|Critical|dns resolution failure internal domains users london office cannot resolve internal hostnames like fileserver
935|Outlook search is non-functional|The search bar within the Outlook desktop application does not return any results. I've tried rebuilding the index.|Software|Application Support|Medium|outlook search nonfunctional search bar within outlook desktop application return results ive tried rebuilding index
936|External hard drive not recognized|My external USB hard drive is not showing up in File Explorer when I plug it into my docking station.|Hardware|Desktop Support|Low|external hard drive recognized external usb hard drive showing file explorer plug docking station
937|Need permission to install network monitoring tool|I require administrative access to install a network packet analysis tool (Wireshark) for troubleshooting.|Account/Access|Security & Access|Low|need permission install network monitoring tool require administrative access install network packet analysis tool wireshark troubleshooting
938|Network link saturation during peak hours|The main network link between the two buildings is hitting 95% utilization every day between 10 AM and 12 PM.|Network|Networking|High|network link saturation peak hours main network link two buildings hitting utilization every day pm
939|Database server restart required for configuration change|Need to schedule and perform a restart of the production database server to apply a recent OS kernel parameter change.|Database|Database Ops|Medium|database server restart required configuration change need schedule perform restart production database server apply recent os kernel parameter change
940|Chrome browser freezing intermittently|Chrome freezes for 5-10 seconds every time I open a new tab or click a link.|Software|Application Support|Low|chrome browser freezing intermittently chrome freezes seconds every time open new tab click link
941|Weak Wi-Fi signal in the supply closet|The Wi-Fi signal in the supply closet is very weak, making it impossible to use the mobile inventory app.|Network|Networking|Low|weak wifi signal supply closet wifi signal supply closet weak making impossible use mobile inventory app
942|Need to change employee's primary AD email|Employee T. Smith's primary email address needs to be changed due to a departmental reorganization.|Account/Access|Security & Access|Medium|need change employees primary ad email employee smiths primary email address needs changed due departmental reorganization
943|Missing cable from docking station|I received a new docking station, but the box was missing the USB-C cable.|Hardware|Desktop Support|Low|missing cable docking station received new docking station box missing usbc cable
944|IP address conflict detected|A network monitoring alert shows an IP address conflict between my workstation and an unknown device.|Network|Networking|Medium|ip address conflict detected network monitoring alert shows ip address conflict workstation unknown device
945|System clock keeps resetting|The system clock on my desktop reverts to a date in 2018 every time I reboot the machine.|Software|Application Support|Medium|system clock keeps resetting system clock desktop reverts date every time reboot machine
946|Broken projector screen retraction|The motorized screen in the training room will not retract after a presentation.|Hardware|Desktop Support|Medium|broken projector screen retraction motorized screen training room retract presentation
947|Need temporary high-privilege account|I need a temporary administrative account to perform an emergency system repair. The account should be automatically disabled in 6 hours.|Account/Access|Security & Access|High|need temporary highprivilege account need temporary administrative account perform emergency system repair account automatically disabled hours
948|Core switch fan failure|The main cooling fan on the core network switch is no longer working. The device is running hot.|Network|Networking|Critical|core switch fan failure main cooling fan core network switch longer working device running hot
949|Database server high transaction time|Transaction commit times on the main database are extremely high (over 2 seconds per commit).|Database|Database Ops|High|database server high transaction time transaction commit times main database extremely high seconds per commit
950|External user cannot access SharePoint folder|An external partner user is unable to access a specific SharePoint folder despite being granted 'Edit' permissions.|Software|Application Support|Low|external user cannot access sharepoint folder external partner user unable access specific sharepoint folder despite granted edit permissions
951|Wi-Fi drops when using specific application|My Wi-Fi connection drops only when I start using the large data processing application.|Network|Networking|Low|wifi drops using specific application wifi connection drops start using large data processing application
952|Password reset not working via self-service portal|The automated self-service password reset portal is failing to send the verification email to all users.|Account/Access|Security & Access|Medium|password reset working via selfservice portal automated selfservice password reset portal failing send verification email users
953|Laptop screen is dark/blank|My laptop screen is completely blank/black, even though the laptop is clearly powered on.|Hardware|Desktop Support|Medium|laptop screen darkblank laptop screen completely blankblack even though laptop clearly powered
954|Intermittent connectivity in data center racks|Two specific racks in Data Center 1 are experiencing random, brief connectivity drops.|Network|Networking|High|intermittent connectivity data center racks two specific racks data center experiencing random brief connectivity drops
955|Adobe Illustrator license suddenly expired|My Adobe Illustrator license unexpectedly expired this morning.|Software|Application Support|Low|adobe illustrator license suddenly expired adobe illustrator license unexpectedly expired morning
956|Broken laptop hinge completely snapped|The laptop hinge assembly has completely snapped on one side. Urgent replacement needed.|Hardware|Desktop Support|Critical|broken laptop hinge completely snapped laptop hinge assembly completely snapped one side urgent replacement needed
957|Need to change service account's SPN|The Service Principal Name (SPN) for the `SVC_Web_FrontEnd` service account needs to be updated.|Account/Access|Security & Access|High|need change service accounts spn service principal name spn svcwebfrontend service account needs updated
958|Link aggregation group failure|The LACP link aggregation group between the core switch and the main firewall has failed.|Network|Networking|High|link aggregation group failure lacp link aggregation group core switch main firewall failed
959|Database server cluster node failed|One of the nodes in the SQL Server high-availability cluster has failed and cannot be brought back online.|Database|Database Ops|Critical|database server cluster node failed one nodes sql server highavailability cluster failed cannot brought back online
960|PowerPoint won't open any files|PowerPoint application launches, but attempting to open any existing PPTX file results in an instant crash.|Software|Application Support|Medium|powerpoint wont open files powerpoint application launches attempting open existing pptx file results instant crash
961|Wi-Fi coverage is weak on the 7th floor|The Wi-Fi signal is consistently weak throughout the 7th floor, even near the access points.|Network|Networking|Medium|wifi coverage weak th floor wifi signal consistently weak throughout th floor even near access points
962|Need to provision a new user in three systems|New hire A. Adams needs accounts created and provisioned in Active Directory, SalesForce, and the internal Wiki system.|Account/Access|Security & Access|Low|need provision new user three systems new hire adams needs accounts created provisioned active directory salesforce internal wiki system
963|Faulty power supply unit (PSU)|My desktop PC will not power on at all. Suspect the power supply unit failed.|Hardware|Desktop Support|High|faulty power supply unit psu desktop pc power suspect power supply unit failed
964|High packet loss on WAN link to Asia office|We are seeing 40%+ packet loss on the primary WAN link connecting to our Asian branch office. Services are unusable.|Network|Networking|Critical|high packet loss wan link asia office seeing packet loss primary wan link connecting asian branch office services unusable
965|Web application displaying garbled text|The main internal web application is displaying incorrect or garbled text characters (mojibake) in all fields.|Software|Application Support|Medium|web application displaying garbled text main internal web application displaying incorrect garbled text characters mojibake fields
966|Broken laptop hinge completely snapped|The laptop hinge assembly has completely snapped on one side. Urgent replacement needed.|Hardware|Desktop Support|Critical|broken laptop hinge completely snapped laptop hinge assembly completely snapped one side urgent replacement needed
967|Need to revoke global administrator access|User T. Miller was mistakenly granted Global Administrator rights in Azure AD last week. This access needs to be immediately revoked and logged.|Account/Access|Security & Access|Critical|need revoke global administrator access user miller mistakenly granted global administrator rights azure ad last week access needs immediately revoked logged
968|Core router rebooting spontaneously|The main network router for the entire campus is spontaneously rebooting every few hours.|Network|Networking|Critical|core router rebooting spontaneously main network router entire campus spontaneously rebooting every hours
969|Database server time zone misconfiguration|The database server's time zone is incorrectly set, causing all time-stamped entries to be off by 4 hours.|Database|Database Ops|Critical|database server time zone misconfiguration database servers time zone incorrectly set causing timestamped entries hours
970|Custom sales application report export failing|When trying to export a large report from the custom sales application to PDF, the process fails every time.|Software|Application Support|Medium|custom sales application report export failing trying export large report custom sales application pdf process fails every time
971|Wi-Fi keeps dropping on a single AP|My connection constantly drops when connected to Access Point AP-07, but works fine on all neighboring access points.|Network|Networking|Low|wifi keeps dropping single ap connection constantly drops connected access point ap works fine neighboring access points
972|MFA enrollment required for new token|I purchased a new physical Yubikey and need to enroll it as my primary multi-factor authentication method.|Account/Access|Security & Access|Low|mfa enrollment required new token purchased new physical yubikey need enroll primary multifactor authentication method
973|Missing cable from monitor box|I received a new monitor, but the box did not contain the HDMI cable.|Hardware|Desktop Support|Low|missing cable monitor box received new monitor box contain hdmi cable
974|High latency to external cloud resources|We are seeing 500ms+ latency when accessing our AWS S3 buckets from the main office.|Network|Networking|High|high latency external cloud resources seeing ms latency accessing aws buckets main office
975|Microsoft Word printing blank pages|When attempting to print a document from Microsoft Word, the printer produces blank pages.|Software|Application Support|Low|microsoft word printing blank pages attempting print document microsoft word printer produces blank pages
976|Broken key on numeric keypad|The 'Enter' key on the numeric keypad portion of my keyboard is physically broken and not registering clicks.|Hardware|Desktop Support|Low|broken key numeric keypad enter key numeric keypad portion keyboard physically broken registering clicks
977|Two-factor recovery code lost|I lost my phone and my 2FA recovery codes. I am locked out of all systems. Need an emergency MFA reset.|Account/Access|Security & Access|Critical|twofactor recovery code lost lost phone fa recovery codes locked systems need emergency mfa reset
978|Core network uplink link flapping|The main fiber uplink connection to our internet router is constantly going down and coming back up.|Network|Networking|Critical|core network uplink link flapping main fiber uplink connection internet router constantly going coming back
979|Database corruption in QA environment|The QA database environment has experienced data corruption and needs to be urgently restored from the latest clean Production backup.|Database|Database Ops|Medium|database corruption qa environment qa database environment experienced data corruption needs urgently restored latest clean production backup
980|Adobe Acrobat PDF editor crashing|Adobe Acrobat Pro crashes every time I try to add comments or highlights to a PDF document.|Software|Application Support|Medium|adobe acrobat pdf editor crashing adobe acrobat pro crashes every time try add comments highlights pdf document
981|Wi-Fi coverage drops in the main lobby|The Wi-Fi signal is unavailable in the main lobby and reception area. Visitors cannot use the guest network.|Network|Networking|Medium|wifi coverage drops main lobby wifi signal unavailable main lobby reception area visitors cannot use guest network
982|User is unable to log in to HR Portal|User P. Smith is receiving a generic 'Login Failed' error on the HR portal. Password reset attempts are unsuccessful.|Account/Access|Security & Access|Medium|user unable log hr portal user p smith receiving generic login failed error hr portal password reset attempts unsuccessful
983|Faulty projector remote sensor|The projector in Room A only responds to the remote control if you stand right next to the screen.|Hardware|Desktop Support|Low|faulty projector remote sensor projector room responds remote control stand right next screen
984|Network traffic spiking at 10 AM daily|Network monitoring shows a massive spike in internal network traffic every day at exactly 10:00 AM. Unknown cause.|Network|Networking|Medium|network traffic spiking daily network monitoring shows massive spike internal network traffic every day exactly unknown cause
985|Custom HR application generates incorrect data|The custom HR system is generating incorrect yearly bonus calculations for all employees. Critical data bug.|Software|Application Support|Critical|custom hr application generates incorrect data custom hr system generating incorrect yearly bonus calculations employees critical data bug
986|Laptop screen is dark/blank|My laptop screen is completely blank/black, even though the laptop is clearly powered on.|Hardware|Desktop Support|Medium|laptop screen darkblank laptop screen completely blankblack even though laptop clearly powered
987|Need temporary elevated rights for installation|I need temporary local administrator rights on my machine for 4 hours to troubleshoot a driver issue on a peripheral.|Account/Access|Security & Access|Low|need temporary elevated rights installation need temporary local administrator rights machine hours troubleshoot driver issue peripheral
988|Network switch high utilization|Network monitoring is flagging a distribution switch in the server room running at 90% utilization constantly.|Network|Networking|High|network switch high utilization network monitoring flagging distribution switch server room running utilization constantly
989|Long-running query holding locks|A single, high-resource query has been running for 6 hours and is holding locks that are blocking all critical database write operations.|Database|Database Ops|Critical|longrunning query holding locks single highresource query running hours holding locks blocking critical database write operations
990|Microsoft Teams status stuck|My status in Microsoft Teams is stuck as 'In a Call' even though I am not in any meeting.|Software|Application Support|Low|microsoft teams status stuck status microsoft teams stuck call even though meeting
991|Wi-Fi authentication failing for Macbooks|All Macbook users in the design department are unable to connect to the corporate Wi-Fi; authentication fails with a certificate error.|Network|Networking|High|wifi authentication failing macbooks macbook users design department unable connect corporate wifi authentication fails certificate error
992|User requires access to former manager's mailbox|User S. Taylor needs delegate access to her former manager's mailbox for 30 days to handle outstanding customer correspondence.|Account/Access|Security & Access|Medium|user requires access former managers mailbox user taylor needs delegate access former managers mailbox days handle outstanding customer correspondence
993|Broken cable on server patch panel|A patch cable leading from the main switch to a critical server is physically damaged in the patch panel.|Hardware|Desktop Support|Medium|broken cable server patch panel patch cable leading main switch critical server physically damaged patch panel
994|Unusual broadcast storm detected|Network monitoring is flagging a massive broadcast storm, indicating a physical loop in the network.|Network|Networking|Critical|unusual broadcast storm detected network monitoring flagging massive broadcast storm indicating physical loop network
995|Adobe Illustrator crashing on text input|The Illustrator application crashes immediately whenever I try to use the text tool and type anything.|Software|Application Support|Medium|adobe illustrator crashing text input illustrator application crashes immediately whenever try use text tool type anything
996|Faulty monitor power adapter|The power adapter for my external monitor has stopped working. I've tried a different power outlet with no success.|Hardware|Desktop Support|Low|faulty monitor power adapter power adapter external monitor stopped working ive tried different power outlet success
997|Need to change employee's primary AD email|Employee T. Smith's primary email address needs to be changed due to a departmental reorganization.|Account/Access|Security & Access|Medium|need change employees primary ad email employee smiths primary email address needs changed due departmental reorganization
998|Intermittent connectivity in server room rack|Servers in Rack C are experiencing random, brief connectivity drops. Suspect a failing top-of-rack switch.|Network|Networking|High|intermittent connectivity server room rack servers rack c experiencing random brief connectivity drops suspect failing topofrack switch
999|Database transaction log growth uncontrolled|The transaction log file for the production database is consuming all available physical disk space.|Database|Database Ops|Critical|database transaction log growth uncontrolled transaction log file production database consuming available physical disk space
1000|Microsoft Word spelling/grammar check not working|The built-in spelling and grammar check feature in Word is completely disabled and cannot be turned back on.|Software|Application Support|Low|microsoft word spellinggrammar check working builtin spelling grammar check feature word completely disabled cannot turned back
1001|Password reset required for Finance System|I forgot my password for Time Tracking System and need to reset it. I've tried the self-service portal but it's not working for this particular system.|Account/Access|Security & Access|Low|password reset required finance system forgot password time tracking system need reset ive tried selfservice portal working particular system
1002|Port 25 blocked on firewall|Application requires access through port 3389 but it appears to be blocked by the firewall. Please review and update the firewall rules to allow this traffic.|Network|Networking|Low|port blocked firewall application requires access port appears blocked firewall please review update firewall rules allow traffic
1003|Cannot install SAP ERP|I'm trying to install AutoCAD but getting installation errors. Conflicting software detected. Please help with the installation process.|Software|Application Support|Low|cannot install sap erp im trying install autocad getting installation errors conflicting software detected please help installation process
1004|Port 21 blocked on firewall|Application requires access through port 3389 but it appears to be blocked by the firewall. Please review and update the firewall rules to allow this traffic.|Network|Networking|High|port blocked firewall application requires access port appears blocked firewall please review update firewall rules allow traffic
1005|Need access to Time Tracking System|I require access to Finance System to complete my assigned tasks. My manager John Smith has approved this request. Please provision the necessary permissions.|Account/Access|Security & Access|High|need access time tracking system require access finance system complete assigned tasks manager john smith approved request please provision necessary permissions
1006|Password reset required for CRM Database|I forgot my password for Inventory System and need to reset it. I've tried the self-service portal but it's not working for this particular system.|Account/Access|Security & Access|Medium|password reset required crm database forgot password inventory system need reset ive tried selfservice portal working particular system
1007|Need to deactivate account for user1916|Employee employee5386 has left the company. Please deactivate their account and revoke all access permissions as per security policy.|Account/Access|Security & Access|Low|need deactivate account user employee employee left company please deactivate account revoke access permissions per security policy
1008|Network latency issues in building 2 west wing|Users in remote office are reporting severe network latency. File transfers are extremely slow and video calls are frequently dropping. This has been ongoing since this morning.|Network|Networking|Critical|network latency issues building west wing users remote office reporting severe network latency file transfers extremely slow video calls frequently dropping ongoing since morning
1009|export not working in SAP ERP|The print feature in AutoCAD is not functioning correctly. Nothing happens when I click it. This is a critical feature I use daily.|Software|Application Support|Medium|export working sap erp print feature autocad functioning correctly nothing happens click critical feature use daily
1010|Permission denied when accessing application server|I'm getting 'Permission Denied' errors when trying to access document repository. My role requires this access so please review and update my permissions.|Account/Access|Security & Access|High|permission denied accessing application server im getting permission denied errors trying access document repository role requires access please review update permissions
1011|Database query performance degraded|Queries on InventoryDB are running extremely slow. Simple SELECT statements that used to take seconds are now taking minutes. This is impacting business operations.|Database|Database Ops|Low|database query performance degraded queries inventorydb running extremely slow simple select statements used take seconds taking minutes impacting business operations
1012|external hard drive not functioning properly|My USB hub has stopped working correctly. Performance is severely degraded. I've tried basic troubleshooting but the issue persists. Please help resolve this hardware problem.|Hardware|Desktop Support|Low|external hard drive functioning properly usb hub stopped working correctly performance severely degraded ive tried basic troubleshooting issue persists please help resolve hardware problem
1013|import not working in Microsoft Excel|The export feature in SAP ERP is not functioning correctly. It gives an error message. This is a critical feature I use daily.|Software|Application Support|Medium|import working microsoft excel export feature sap erp functioning correctly gives error message critical feature use daily
1014|WiFi connection keeps dropping in conference room 3A|I'm experiencing intermittent WiFi disconnections in the building 2 west wing. The connection drops every 30 minutes and I have to reconnect manually. This is affecting my productivity and I need urgent assistance.|Network|Networking|Medium|wifi connection keeps dropping conference room im experiencing intermittent wifi disconnections building west wing connection drops every minutes reconnect manually affecting productivity need urgent assistance
1015|Account locked for security policy violation|My account has been locked due to password expiration. I need to regain access as soon as possible to continue my work.|Account/Access|Security & Access|Medium|account locked security policy violation account locked due password expiration need regain access soon possible continue work
1016|Network latency issues in conference room 3A|Users in building 2 west wing are reporting severe network latency. File transfers are extremely slow and video calls are frequently dropping. This has been ongoing since yesterday.|Network|Networking|Low|network latency issues conference room users building west wing reporting severe network latency file transfers extremely slow video calls frequently dropping ongoing since yesterday
1017|Database query performance degraded|Queries on InventoryDB are running extremely slow. Simple SELECT statements that used to take seconds are now taking minutes. This is impacting business operations.|Database|Database Ops|High|database query performance degraded queries inventorydb running extremely slow simple select statements used take seconds taking minutes impacting business operations
1018|Need to deactivate account for user4981|Employee employee2588 has left the company. Please deactivate their account and revoke all access permissions as per security policy.|Account/Access|Security & Access|High|need deactivate account user employee employee left company please deactivate account revoke access permissions per security policy
1019|external hard drive not functioning properly|My laptop has stopped working correctly. Performance is severely degraded. I've tried basic troubleshooting but the issue persists. Please help resolve this hardware problem.|Hardware|Desktop Support|Medium|external hard drive functioning properly laptop stopped working correctly performance severely degraded ive tried basic troubleshooting issue persists please help resolve hardware problem
1020|DNS resolution failing for apps.company.com|I cannot access intranet.company.com from my workstation. I'm getting DNS resolution errors and the IT team needs to investigate the DNS server configuration.|Network|Networking|Medium|dns resolution failing appscompanycom cannot access intranetcompanycom workstation im getting dns resolution errors team needs investigate dns server configuration
1021|Cannot connect to CustomerDB|I'm unable to connect to FinanceDB. Getting connection timeout errors. This is preventing access to critical business data.|Database|Database Ops|Critical|cannot connect customerdb im unable connect financedb getting connection timeout errors preventing access critical business data
1022|Cannot connect to FinanceDB|I'm unable to connect to FinanceDB. Getting connection timeout errors. This is preventing access to critical business data.|Database|Database Ops|Critical|cannot connect financedb im unable connect financedb getting connection timeout errors preventing access critical business data
1023|external hard drive overheating issue|My desktop computer is running extremely hot and The screen flickers constantly. This could lead to hardware damage and needs immediate investigation.|Hardware|Desktop Support|High|external hard drive overheating issue desktop computer running extremely hot screen flickers constantly could lead hardware damage needs immediate investigation
1024|Port 8080 blocked on firewall|Application requires access through port 443 but it appears to be blocked by the firewall. Please review and update the firewall rules to allow this traffic.|Network|Networking|Medium|port blocked firewall application requires access port appears blocked firewall please review update firewall rules allow traffic
1025|Transaction log full on HRDB|The transaction log for HRDB is full and the database is no longer accepting writes. This is a critical production issue.|Database|Database Ops|Medium|transaction log full hrdb transaction log hrdb full database longer accepting writes critical production issue
1026|Salesforce license expired|The license for AutoCAD has expired and the software is no longer functional. Please renew the license so I can continue my work.|Software|Application Support|Medium|salesforce license expired license autocad expired software longer functional please renew license continue work
1027|Database query performance degraded|Queries on HRDB are running extremely slow. Simple SELECT statements that used to take seconds are now taking minutes. This is impacting business operations.|Database|Database Ops|Critical|database query performance degraded queries hrdb running extremely slow simple select statements used take seconds taking minutes impacting business operations
1028|Account locked for too many failed login attempts|My account has been locked due to password expiration. I need to regain access as soon as possible to continue my work.|Account/Access|Security & Access|Medium|account locked many failed login attempts account locked due password expiration need regain access soon possible continue work
1029|Need to deactivate account for user2697|Employee employee3546 has left the company. Please deactivate their account and revoke all access permissions as per security policy.|Account/Access|Security & Access|Critical|need deactivate account user employee employee left company please deactivate account revoke access permissions per security policy
1030|desktop computer making unusual buzzing|My USB hub is making unusual clicking sounds and shows artifacts on screen. I'm concerned about potential hardware failure and need technical support.|Hardware|Desktop Support|Low|desktop computer making unusual buzzing usb hub making unusual clicking sounds shows artifacts screen im concerned potential hardware failure need technical support
1031|Cannot access file server from remote location|When I try to access document repository from home using VPN, I get connection timeout errors. The issue started this afternoon and is preventing me from completing critical tasks.|Network|Networking|Medium|cannot access file server remote location try access document repository home using vpn get connection timeout errors issue started afternoon preventing completing critical tasks
1032|Cannot access shared network drive from remote location|When I try to access internal web portal from home using VPN, I get connection timeout errors. The issue started this morning and is preventing me from completing critical tasks.|Network|Networking|Critical|cannot access shared network drive remote location try access internal web portal home using vpn get connection timeout errors issue started morning preventing completing critical tasks
1033|monitor not functioning properly|My external hard drive has stopped working correctly. The fan is very loud. I've tried basic troubleshooting but the issue persists. Please help resolve this hardware problem.|Hardware|Desktop Support|Critical|monitor functioning properly external hard drive stopped working correctly fan loud ive tried basic troubleshooting issue persists please help resolve hardware problem
1034|Cannot connect to FinanceDB|I'm unable to connect to CustomerDB. Getting connection timeout errors. This is preventing access to critical business data.|Database|Database Ops|Critical|cannot connect financedb im unable connect customerdb getting connection timeout errors preventing access critical business data
1035|Cannot install AutoCAD|I'm trying to install Oracle Client but getting installation errors. Download interrupted. Please help with the installation process.|Software|Application Support|Critical|cannot install autocad im trying install oracle client getting installation errors download interrupted please help installation process
1036|Need replacement RAM module|The power supply on my workstation is faulty and needs immediate replacement. This is affecting my ability to work and requires urgent attention.|Hardware|Desktop Support|High|need replacement ram module power supply workstation faulty needs immediate replacement affecting ability work requires urgent attention
1037|Microsoft Excel license expired|The license for AutoCAD has expired and the software is no longer functional. Please renew the license so I can continue my work.|Software|Application Support|High|microsoft excel license expired license autocad expired software longer functional please renew license continue work
1038|Cannot connect webcam to workstation|I'm unable to connect my USB keyboard to my workstation. Driver installation failed. Please assist with configuration or driver installation.|Hardware|Desktop Support|High|cannot connect webcam workstation im unable connect usb keyboard workstation driver installation failed please assist configuration driver installation
1039|USB hub making unusual clicking|My external hard drive is making unusual whirring sounds and runs very slowly. I'm concerned about potential hardware failure and need technical support.|Hardware|Desktop Support|Low|usb hub making unusual clicking external hard drive making unusual whirring sounds runs slowly im concerned potential hardware failure need technical support
1040|Cannot install Visual Studio|I'm trying to install Visual Studio but getting installation errors. Conflicting software detected. Please help with the installation process.|Software|Application Support|Medium|cannot install visual studio im trying install visual studio getting installation errors conflicting software detected please help installation process
1041|USB hub overheating issue|My docking station is running extremely hot and It shuts down unexpectedly. This could lead to hardware damage and needs immediate investigation.|Hardware|Desktop Support|Low|usb hub overheating issue docking station running extremely hot shuts unexpectedly could lead hardware damage needs immediate investigation
1042|monitor overheating issue|My desktop computer is running extremely hot and The screen flickers constantly. This could lead to hardware damage and needs immediate investigation.|Hardware|Desktop Support|High|monitor overheating issue desktop computer running extremely hot screen flickers constantly could lead hardware damage needs immediate investigation
1043|Permission denied when accessing application server|I'm getting 'Permission Denied' errors when trying to access shared network drive. My role requires this access so please review and update my permissions.|Account/Access|Security & Access|High|permission denied accessing application server im getting permission denied errors trying access shared network drive role requires access please review update permissions
1044|sync not working in SAP ERP|The collaboration feature in AutoCAD is not functioning correctly. The application freezes. This is a critical feature I use daily.|Software|Application Support|Low|sync working sap erp collaboration feature autocad functioning correctly application freezes critical feature use daily
1045|Transaction log full on AnalyticsDB|The transaction log for FinanceDB is full and the database is no longer accepting writes. This is a critical production issue.|Database|Database Ops|Critical|transaction log full analyticsdb transaction log financedb full database longer accepting writes critical production issue
1046|Oracle Client license expired|The license for Oracle Client has expired and the software is no longer functional. Please renew the license so I can continue my work.|Software|Application Support|Medium|oracle client license expired license oracle client expired software longer functional please renew license continue work
1047|Salesforce license expired|The license for AutoCAD has expired and the software is no longer functional. Please renew the license so I can continue my work.|Software|Application Support|Low|salesforce license expired license autocad expired software longer functional please renew license continue work
1048|Cannot connect external monitor to workstation|I'm unable to connect my scanner to my workstation. Device not recognized. Please assist with configuration or driver installation.|Hardware|Desktop Support|Medium|cannot connect external monitor workstation im unable connect scanner workstation device recognized please assist configuration driver installation
1049|Table Inventory corruption detected|Database integrity check found corruption in table Transactions. Some records appear to be damaged and need recovery procedures.|Database|Database Ops|Low|table inventory corruption detected database integrity check found corruption table transactions records appear damaged need recovery procedures
1050|WiFi connection keeps dropping in remote office|I'm experiencing intermittent WiFi disconnections in the building 2 west wing. The connection drops every 15 minutes and I have to reconnect manually. This is affecting my productivity and I need urgent assistance.|Network|Networking|Medium|wifi connection keeps dropping remote office im experiencing intermittent wifi disconnections building west wing connection drops every minutes reconnect manually affecting productivity need urgent assistance
1051|Database query performance degraded|Queries on FinanceDB are running extremely slow. Simple SELECT statements that used to take seconds are now taking minutes. This is impacting business operations.|Database|Database Ops|Medium|database query performance degraded queries financedb running extremely slow simple select statements used take seconds taking minutes impacting business operations
1052|Network latency issues in building 2 west wing|Users in remote office are reporting severe network latency. File transfers are extremely slow and video calls are frequently dropping. This has been ongoing since last night.|Network|Networking|Low|network latency issues building west wing users remote office reporting severe network latency file transfers extremely slow video calls frequently dropping ongoing since last night
1053|Network latency issues in building 2 west wing|Users in building 2 west wing are reporting severe network latency. File transfers are extremely slow and video calls are frequently dropping. This has been ongoing since this afternoon.|Network|Networking|Medium|network latency issues building west wing users building west wing reporting severe network latency file transfers extremely slow video calls frequently dropping ongoing since afternoon
1054|Port 3389 blocked on firewall|Application requires access through port 3389 but it appears to be blocked by the firewall. Please review and update the firewall rules to allow this traffic.|Network|Networking|High|port blocked firewall application requires access port appears blocked firewall please review update firewall rules allow traffic
1055|Network latency issues in data center|Users in building 2 west wing are reporting severe network latency. File transfers are extremely slow and video calls are frequently dropping. This has been ongoing since this morning.|Network|Networking|Low|network latency issues data center users building west wing reporting severe network latency file transfers extremely slow video calls frequently dropping ongoing since morning
1056|Database query performance degraded|Queries on InventoryDB are running extremely slow. Simple SELECT statements that used to take seconds are now taking minutes. This is impacting business operations.|Database|Database Ops|Medium|database query performance degraded queries inventorydb running extremely slow simple select statements used take seconds taking minutes impacting business operations
1057|WiFi connection keeps dropping in remote office|I'm experiencing intermittent WiFi disconnections in the main office floor 5. The connection drops every 15 minutes and I have to reconnect manually. This is affecting my productivity and I need urgent assistance.|Network|Networking|High|wifi connection keeps dropping remote office im experiencing intermittent wifi disconnections main office floor connection drops every minutes reconnect manually affecting productivity need urgent assistance
1058|Permission denied when accessing file server|I'm getting 'Permission Denied' errors when trying to access internal web portal. My role requires this access so please review and update my permissions.|Account/Access|Security & Access|Critical|permission denied accessing file server im getting permission denied errors trying access internal web portal role requires access please review update permissions
1059|Compatibility issue with Salesforce|Oracle Client is not compatible with Windows 10 22H2. After the recent OS update, the application won't run properly.|Software|Application Support|Medium|compatibility issue salesforce oracle client compatible windows h recent os update application wont run properly
